#* opts
# style NewRibbons
# header1 mol
# format_data %8.4f
# header2 frame
# colorID 0
# collections rmsd avg std min max
# sets dual
# format_scale %4.2f
# ascii 0
# format_key %3d %3d
# connect lines
# formats f
# calctype rmsd
# mode frames
# color Molecule
#* guiopts
# byres 1
# align 0
# force_samemols 0
# diagonal 0
#* sets
# mol2_def id
# mol_all 0 1
# mol1 0
# mol2 1
# rep_sel protein
# samemols 0
# frame1_def all
# frame2_def all
# frame1 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# frame2 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# sel1 protein
# sel2 protein
# mol1_def id
    mol1   frame1       mol2   frame2       rmsd      avg      std      min      max
       0        9          1       17     2.7625   2.0572   2.1538   0.5655  15.0004
       0        9          1       18     3.1505   2.2167   2.6694   0.4241  21.5527
       0        9          1       19     2.2809   1.8607   1.3556   0.3692   9.5522
       0       10          1        0     3.1122   2.0401   2.8211   0.2422  22.8444
       0       10          1        1     3.1369   2.1523   2.6621   0.2583  18.1963
       0       10          1        2     3.1165   2.1360   2.6126   0.2748  17.8980
       0       10          1        3     3.6530   2.2297   3.3176   0.3805  22.8229
       0       10          1        4     3.4200   2.2170   3.0646   0.2965  20.4417
       0       10          1        5     3.6318   2.2455   3.4049   0.3679  26.4140
       0       10          1        6     3.7334   2.2763   3.5278   0.3885  25.8847
       0       10          1        7     2.9948   2.0208   2.5131   0.2401  16.6844
       0       10          1        8     3.8701   2.4526   3.5954   0.2736  27.9423
       0       10          1        9     3.8830   2.4363   3.6306   0.4630  27.0685
       0       10          1       10     0.0000   0.0000   0.0000   0.0000   0.0000
       0       10          1       11     2.6625   1.8339   2.2311   0.2244  15.8582
       0       10          1       12     3.2471   2.1442   2.9214   0.2781  22.1108
       0       10          1       13     3.5578   2.3180   3.2169   0.2778  23.8307
       0       10          1       14     4.0462   2.3223   3.9598   0.2856  29.5364
       0       10          1       15     3.8223   2.4015   3.6044   0.4622  27.6073
       0       10          1       16     4.3141   2.4785   4.2532   0.3828  30.7797
